epoch,loss,running_cost,terminal_cost,cHJB,cHJBfin,cadj,cadjfin,time_per_epoch,grad_norm,lr,max_fp_itrs,max_fp_res_norm,memory_MB,max_memory_MB,gpu_memory_MB,gpu_max_memory_MB,work_units,max_grad_H,avg_grad_H,smallest_M_sdval,largest_M_sdval,smallest_lambda_min,largest_lambda_max,max_grad_T_u,avg_grad_T_u,sd_grad_T_u,angle,lin_residual,exploration_std
41,10.874536707997322,0.10390825569629669,2.154125690460205,0.0,0.0,0.0,0.0,2.8321738243103027,0.037690946448061965,0.001,33,6.914138793945312e-05,87.875,87.875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0023233119444921613,0.33448587928484014
42,10.864835403859615,0.10840120166540146,2.1512868404388428,0.0,0.0,0.0,0.0,2.7639009952545166,0.03637098156833693,0.001,31,9.775161743164062e-05,90.8125,90.8125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0023518574214540424,0.33114102049199173
43,10.855424642562866,0.11289143562316895,2.1485066413879395,0.0,0.0,0.0,0.0,2.7389590740203857,0.03496176388090767,0.001,30,9.584426879882812e-05,88.703125,88.703125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0022370982589200138,0.3278296102870718
44,10.846387758851051,0.11742772161960602,2.145792007446289,0.0,0.0,0.0,0.0,2.702897787094116,0.03359452305292196,0.001,29,9.989738464355469e-05,64.84375,64.84375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0022314234147779643,0.3245513141842011
45,10.837671391665936,0.12196027487516403,2.1431422233581543,0.0,0.0,0.0,0.0,2.6755189895629883,0.032273913470446856,0.001,29,7.367134094238281e-05,87.34375,87.34375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0023426051693968475,0.32130580104235906
46,10.829256355762482,0.12638407945632935,2.1405744552612305,0.0,0.0,0.0,0.0,2.6505441665649414,0.030916618329359265,0.001,28,7.963180541992188e-05,69.890625,69.890625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0022801839956082402,0.31809274303193547
47,10.821289271116257,0.13083145022392273,2.138091564178467,0.0,0.0,0.0,0.0,2.5991218090057373,0.029683935754382162,0.001,27,9.012222290039062e-05,85.640625,85.640625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0022415602137334646,0.31491181560161613
48,10.813717678189278,0.13515694439411163,2.135712146759033,0.0,0.0,0.0,0.0,2.5384607315063477,0.02848295256865904,0.001,27,6.580352783203125e-05,87.953125,87.953125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002283658990636468,0.3117626974456
49,10.806424334645271,0.13931842148303986,2.1334211826324463,0.0,0.0,0.0,0.0,2.65974497795105,0.027455088803746124,0.001,26,7.891654968261719e-05,65.671875,65.671875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0021815436170436442,0.308645070471144
50,10.799561783671379,0.14349345862865448,2.131213665008545,0.0,0.0,0.0,0.0,2.4333858489990234,0.026506476175769764,0.001,25,9.894371032714844e-05,84.265625,84.265625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0022366063436493277,0.30555861976643256
51,10.793040826916695,0.14742715656757355,2.129122734069824,0.0,0.0,0.0,0.0,2.598526954650879,0.02566293037794974,0.001,25,7.724761962890625e-05,69.765625,69.765625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0020998432557098566,0.30250303356876823
52,10.78680157661438,0.15113472938537598,2.127133369445801,0.0,0.0,0.0,0.0,2.3880341053009033,0.024937889021353514,0.001,25,6.29425048828125e-05,84.953125,84.953125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002139813180547208,0.29947800323308055
53,10.78098227083683,0.15471746027469635,2.1252529621124268,0.0,0.0,0.0,0.0,2.3841841220855713,0.02440375529908785,0.001,24,8.392333984375e-05,70.53125,70.53125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.002237662754487246,0.2964832232007497
54,10.775514721870422,0.15791046619415283,2.123520851135254,0.0,0.0,0.0,0.0,2.4123268127441406,0.023931635846534453,0.001,24,7.343292236328125e-05,62.15625,62.15625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0020939750340767203,0.2935183909687422
55,10.770441934466362,0.1609749048948288,2.1218934059143066,0.0,0.0,0.0,0.0,2.3698413372039795,0.023602463378249967,0.001,24,6.008148193359375e-05,86.515625,86.515625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0020910883345641195,0.29058320705905477
56,10.765615314245224,0.16358813643455505,2.120405435562134,0.0,0.0,0.0,0.0,2.2888476848602295,0.023339021295838203,0.001,23,9.441375732421875e-05,86.09375,86.09375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0019597351388074458,0.28767737498846424
57,10.761132016777992,0.166001096367836,2.1190261840820312,0.0,0.0,0.0,0.0,2.251681089401245,0.02315155157465413,0.001,23,8.392333984375e-05,76.140625,76.140625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.001967230539303273,0.2848006012385796
58,10.75695313513279,0.16806162893772125,2.1177783012390137,0.0,0.0,0.0,0.0,2.211912155151367,0.02292573120372082,0.001,23,8.106231689453125e-05,90.90625,90.90625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0019077592296525836,0.2819525952261938
59,10.753086298704147,0.16999194025993347,2.1166188716888428,0.0,0.0,0.0,0.0,2.2279088497161865,0.02276482810049192,0.001,23,7.104873657226562e-05,96.71875,96.71875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0019780713808722795,0.2791330692739319
60,10.749397724866867,0.17131373286247253,2.115616798400879,0.0,0.0,0.0,0.0,2.2399628162384033,0.022554528252928193,0.001,23,6.866455078125e-05,72.109375,72.109375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0017798958951607347,0.27634173858119254
61,10.746031433343887,0.17237845063209534,2.1147305965423584,0.0,0.0,0.0,0.0,2.413931131362915,0.022342146415781822,0.001,23,6.246566772460938e-05,61.046875,61.046875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0019313166523352266,0.2735783211953806
62,10.74293752014637,0.17308135330677032,2.11397123336792,0.0,0.0,0.0,0.0,2.198978900909424,0.022054322880735906,0.001,23,6.4849853515625e-05,78.890625,78.890625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0018319484288804233,0.2708425379834268
63,10.740070298314095,0.17366881668567657,2.1132802963256836,0.0,0.0,0.0,0.0,2.1836559772491455,0.021714292708973376,0.001,23,7.05718994140625e-05,70.171875,70.171875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.001771618342027068,0.2681341126035925
64,10.737393870949745,0.1739344745874405,2.112691879272461,0.0,0.0,0.0,0.0,2.1473588943481445,0.021369469595061495,0.001,23,7.581710815429688e-05,87.71875,87.71875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0017070752335712313,0.2654527714775566
65,10.734930634498596,0.1739436388015747,2.1121973991394043,0.0,0.0,0.0,0.0,2.16391921043396,0.020984416735375128,0.001,23,8.058547973632812e-05,83.609375,83.609375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0017798832361586392,0.262798243762781
